"id","text","screenName","created","favoriteCount","retweetCount"
"1310191581106974721","Ihr Lieben, die Gerüchte sind wahr: ich werde Nachfolger von David #Wagner und damit Schalkes Fußball wieder sexy m… https://t.co/eRE8Xn8qEZ","therealhabeck",2020-09-27 12:16:29,82,3
"1297455159996567553","Wenn du          VS.   TheORIGINAL 
Habeck auf 
Wish bestellst

 #Amthor https://t.co/x7g1yyDRbd","therealhabeck",2020-08-23 08:46:30,90,6
"1296143686779142144","Ich nach             VS.    Ich nach
#Viertagewoche        5-Tagewoche https://t.co/6UFCQSqzht","therealhabeck",2020-08-19 17:55:10,90,5
"1295759392814575617","@MarkusKmmerlin1 Deal!","therealhabeck",2020-08-18 16:28:07,2,0
"1295445332160110597","Like wer auch mal mit mir Pommes auf dem Bürgersteig essen und sich dabei fotografieren lassen möchte <U+0001F35F> (keine Insz… https://t.co/1lwRTGAGS8","therealhabeck",2020-08-17 19:40:10,89,2
"1291105646172090368","Christian #Drosten ist wieder da! 

Das ist aber nur fast so sexy und fast so spannend wie mein Comeback damals hier auf Twitter dot com","therealhabeck",2020-08-05 20:15:48,32,1
"1289678478800048129","@JoswigThomas Schade, dann gern Abonnement beenden","therealhabeck",2020-08-01 21:44:45,0,0
"1289672575027576832","@JoswigThomas Sie offenbar oder <U+0001F917>","therealhabeck",2020-08-01 21:21:17,0,0
"1289490965657350145","Mein privater #TikTok-Channel ist ja leider schon seit Monaten verboten wegen sexy... von daher lohnt sich die Plat… https://t.co/QHljmJJjLj","therealhabeck",2020-08-01 09:19:38,72,2
"1196033018483355648","@StephanHolowaty Das fände ich okay! :)","therealhabeck",2019-11-17 11:51:07,1,0
"1196032931023794176","@christinalobert Iwo! :)","therealhabeck",2019-11-17 11:50:46,2,0
"1196026362873700352","@FockeArne :( Ich hoffe, die Vernunft setzt sich auch in Bayern mittelfristig doch noch durch.","therealhabeck",2019-11-17 11:24:40,4,1
"1196026188772319234","@christinalobert Bundeskanzleramt! :)","therealhabeck",2019-11-17 11:23:59,1,1
"1196026080756477952","@nosebear2 Wohl wahr!!!","therealhabeck",2019-11-17 11:23:33,1,0
"1196025974405705728","@LLeineweber Ach, vielleicht reichen ja auch Wahlen! :)","therealhabeck",2019-11-17 11:23:08,1,0
"1195856199905923074","@PPMMal Ich hätte ihn halt gerne selbst! :)","therealhabeck",2019-11-17 00:08:30,1,0
"1195855440980172800","Lieber #Domian, hast du noch Kontakt zum Hackfleischmann? Würde ihm gerne gute Tofu-Alternativen vorschlagen.","therealhabeck",2019-11-17 00:05:29,50,2
"1195855276685058048","Yihar, what a hell of a Parteitag! Ach, und eins noch: Das einzige Haus, das ich mit Freude enteignen werde, ist da… https://t.co/NF0SxTytZj","therealhabeck",2019-11-17 00:04:50,57,3
"1186585504843812864","Uh! Der Chrissi ist aber hot geworden! https://t.co/J5uxSjFYCS","therealhabeck",2019-10-22 10:10:04,27,0
"1186056352323571713","@LLeineweber <U+0001F60E><U+0001F60B><U+0001F92A>","therealhabeck",2019-10-20 23:07:24,1,0
"1185959070370545665","Brexit ist wie Grey's Anatomy: zieht sich viel zu lang, wird nicht besser und immer wieder fragt man sich ""So nen d… https://t.co/KfzyormxnD","therealhabeck",2019-10-20 16:40:51,94,4
"1185883649788518405","@AwesomoEl Heheee <U+0001F60E><U+0001F60D><U+0001F340>","therealhabeck",2019-10-20 11:41:09,0,0
"1185851678647574534","@LLeineweber Guter Hinweis. In Zeichen der Digitalisierung könnten wir die Pressekonferenzen ja auch via Skype abhalten, hmmm...","therealhabeck",2019-10-20 09:34:06,1,0
"1185851463777619968","@Karlche32541531 Steil ist geil!","therealhabeck",2019-10-20 09:33:15,0,0
"1185851394542227457","@IBosefeldt Stimmt, auch ein guter Gedanke!","therealhabeck",2019-10-20 09:32:59,0,0
"1185841081684037632","@Karlche32541531 Alright, dann G7 bei dir?","therealhabeck",2019-10-20 08:52:00,0,0
"1185832555154755584","Wenn Trump den G7-Gipfel nun doch nicht in seinen Hotels abhält - ich könnte meine Wochenendhütte anbieten! Keine e… https://t.co/464wRbcGLi","therealhabeck",2019-10-20 08:18:07,57,4
"1185824698040537088","@CaraArtista Beide sind für mich Vorbilder! <U+0001F602>","therealhabeck",2019-10-20 07:46:54,1,0
"1185823387454758912","@LLeineweber Der Gedanke gefällt mir! :)","therealhabeck",2019-10-20 07:41:41,1,0
"1185694899485712386","Ja, ich möchte gerne die Daliah Lavi unter den Politikern sein!","therealhabeck",2019-10-19 23:11:07,11,0
"1185694164933140480","Leute, sag's wie's ist, hab bisschen mit TikTok rumprobiert, um jung und fresh zu sein. Aber es kickt einfach nicht… https://t.co/uTqR4mmO3G","therealhabeck",2019-10-19 23:08:12,11,0
"1172830576371539968","@scheeewittchen Setzen uns gerne auf Bundesebene dafür ein.","therealhabeck",2019-09-14 11:12:54,4,0
"1172783453269561344","@roberto_braune Sprachlos, perfekt! Ich bin jetzt auch umgekehrt Fan! :)","therealhabeck",2019-09-14 08:05:39,1,0
"1172783290794856448","@IBosefeldt Wow, ich bin beeindruckt! Das ist Tatkraft und ich freue mich sehr, wenn die SPD-Basis sich für dieses… https://t.co/UVA1dlXWhu","therealhabeck",2019-09-14 08:05:00,2,0
"1172783018739666944","@Michael250461 Ja, immer kommen sie da an, wo man keine Gelegenheit zum Abhören hat! :)","therealhabeck",2019-09-14 08:03:55,0,0
"1172782925923987456","@LLeineweber So ist es, lieber Ludwig! Tippen als Zeichen von Wertschätzung :)","therealhabeck",2019-09-14 08:03:33,1,0
"1172782803483865088","@CaraArtista Das klingt sehr schön, guten Morgen! <U+0001F642>","therealhabeck",2019-09-14 08:03:04,1,0
"1172642407722225664","@BoehserArn666 Ich war weg, aber bin längst wieder #habackforgood!<U+0001F340> Liebe Grüße, dein echter, realer, authentischer Satire-Robbie <U+0001F920>","therealhabeck",2019-09-13 22:45:11,1,0
"1172627932134686722","Crowd! Es ist Zeit, sich den Herausforderungen unserer Zeit wagemutig in den Weg zu stellen. Deshalb fordern wir Gr… https://t.co/YJ7rn23rRJ","therealhabeck",2019-09-13 21:47:40,47,4
"1172627223548956677","@CaraArtista Politisch bunt, im Foto mal so mal so :)","therealhabeck",2019-09-13 21:44:51,1,0
"1172149452729196546","@MasseyFriend Das kennzeichnet was wahre Genie!","therealhabeck",2019-09-12 14:06:21,0,0
"1172135089871998976","@MasseyFriend Das sind weise Worte! <U+0001F340>","therealhabeck",2019-09-12 13:09:17,0,0
"1172053944111116288","@LLeineweber Das ist doch eine schöne Beobachtung! <U+0001F60D>","therealhabeck",2019-09-12 07:46:50,1,0
"1172043606489743360","Der Tag startet famos: Chrissi Lindner hat mir gezeigt, wo auf meiner Handykamera der schwarz-weiß-Filter ist! <U+0001F60E> https://t.co/EVdLWW3lxe","therealhabeck",2019-09-12 07:05:45,92,0
"1172039310759120896","@LLeineweber Das ist noch offen! Möge der / die Bessere gewinnen! :)","therealhabeck",2019-09-12 06:48:41,1,0
"1171739773251260416","Wenn Cem urplötzlich einen Geistesblitz hat, wem er den Job klauen könnte, um doch wieder an nen netten Posten zu k… https://t.co/8imt2IA1dK","therealhabeck",2019-09-11 10:58:26,38,2
"1168984208066396162","@LuiseThora Das tut gut zu hören! <U+0001F60A>","therealhabeck",2019-09-03 20:28:48,2,0
"1168971192650391555","Habe Post-Geburtstags-Kater, gucke das Sommerhaus der Stars und zweifle leise daran, ob ich Deutschland wirklich retten kann.","therealhabeck",2019-09-03 19:37:05,48,0
"1168586934819667970","@Michael250461 Zum 51. wasch ich sie dann ;) Danke für die Glückwünsch!","therealhabeck",2019-09-02 18:10:11,4,0
"1168518263795519488","Ratet mal, wer heute seinen 50. Geburtstag feiert? <U+0001F973><U+0001F973><U+0001F973><U+0001F973>Richtig: euer Lieblings-Robbie! Hier seht ihr, wie gechillt… https://t.co/VH82FL5h58","therealhabeck",2019-09-02 13:37:18,78,4
"1168404970858852352","@Michael250461 Die einen sagen so... ;)","therealhabeck",2019-09-02 06:07:07,1,0
"1168404798653308928","@NonPonenda So ist der Blick, wenn die anderen Gäste lieb sind! :)","therealhabeck",2019-09-02 06:06:26,1,0
"1168404658894888962","@christinalobert <U+0001F605>","therealhabeck",2019-09-02 06:05:53,0,0
"1168270824362651648","@CaraArtista Ach Dankeschön, das ist sehr nett! <U+0001F60A>","therealhabeck",2019-09-01 21:14:04,2,0
